"State/UT,NER - Primary (1 to 5) - Boys,NER - Primary (1 to 5) - Girls,NER - Primary (1 to 5) - Total,NER - Upper Primary (6 to 8) - Boys,NER - Upper Primary (6 to 8) - Girls,NER - Upper Primary (6 to 8) - Total,NER - Elementary (1 to 8) - Boys,NER - Elementary (1 to 8) - Girls,NER - Elementary (1 to 8) - Total,NER - Secondary (9-10) - Boys,NER - Secondary (9-10) - Girls,NER - Secondary (9-10) - Total,NER - Higher Secondary (11-12) - Boys,NER - Higher Secondary (11-12) - Girls,NER - Higher Secondary (11-12) - Total"
"India,90.5,92.4,91.4,70.4,71.9,71.1,89.7,91.3,90.4,50.2,50.3,50.2,31.4,33.3,32.3"
"Andaman and Nicobar Islands,69.6,73.1,71.3,58.4,62.1,60.2,70.8,74.5,72.6,46.8,55.0,50.7,27.1,37.7,32.1"
"Andhra Pradesh,88.8,85.7,87.3,72.2,70.6,71.4,90.7,87.7,89.2,55.1,55.1,55.1,32.5,37.2,34.7"
"Arunachal Pradesh,92.4,94.6,93.5,56.2,60.1,58.1,88.6,91.2,89.9,36.2,40.9,38.5,19.5,22.2,20.8"
"Assam,100,100,100,73.7,81.0,77.2,98.4,100,100,48.1,57.5,52.7,20.6,21.5,21.1"
"Bihar,86.6,89.9,88.2,68.0,74.4,71.1,82.9,87.4,85.1,33.6,35.9,34.7,15.9,16.0,16.0"
"Chandigarh,73.4,82.1,77.3,76.9,85.8,80.8,81.1,90.1,85.0,59.4,68.2,63.3,50.3,61.4,54.9"
"Chhattisgarh,89.4,89.7,89.5,72.5,73.5,73.0,88.0,88.3,88.1,53.7,58.2,55.9,30.1,37.0,33.5"
"Dadra and Nagar Haveli,84.5,89.6,86.9,63.4,65.1,64.2,85.9,89.1,87.4,59.3,65.6,62.1,29.2,42.9,35.0"
"Daman and Diu,74.0,78.5,76.1,64.2,68.8,66.3,80.0,83.8,81.7,45.1,56.8,50.0,19.0,42.7,27.1"
"Delhi,100,100,100,93.4,98.3,95.7,100,100,100,69.7,75.4,72.3,44.4,51.1,47.4"
"Goa,89.2,93.5,91.2,76.6,78.7,77.6,89.2,92.6,90.8,65.1,66.9,65.9,37.2,47.7,42.2"
"Gujarat,82.7,85.8,84.1,71.4,72.2,71.8,84.9,87.1,85.9,59.6,52.1,56.1,30.8,31.0,30.9"
"Haryana,85.6,84.5,85.2,71.3,69.6,70.5,91.2,90.2,90.8,55.6,51.6,53.8,35.6,36.3,35.9"
"Himachal Pradesh,91.4,93.0,92.0,75.4,76.9,76.2,93.4,95.0,94.2,66.7,67.1,66.9,53.3,57.8,55.4"
"Jammu and Kashmir,73.2,75.4,74.2,45.3,48.1,46.6,69.4,72.3,70.7,33.4,33.6,33.5,22.9,23.2,23.1"
"Jharkhand,92.7,93.2,92.9,67.8,71.3,69.5,88.6,90.0,89.3,38.4,40.7,39.6,23.2,24.0,23.6"
"Karnataka,100,100,100,90.1,89.5,89.8,100,100,100,73.1,71.5,72.3,36.4,43.4,39.8"
"Kerala,90.7,90.5,90.6,81.7,81.8,81.7,93.4,93.1,93.2,74.0,74.1,74.1,59.0,65.9,62.4"
"Ladakh,65.1,71.2,68.0,44.8,52.7,48.5,63.8,71.8,67.6,30.3,36.2,33.2,19.7,23.1,21.3"
"Lakshadweep,76.0,75.3,75.6,57.7,51.8,54.6,71.9,67.5,69.7,53.0,59.6,56.2,62.0,64.8,63.4"
"Madhya Pradesh,80.8,80.7,80.7,69.8,68.6,69.2,84.0,83.2,83.6,47.6,44.4,46.1,26.4,26.3,26.4"
"Maharashtra,97.1,98.7,97.8,79.4,79.1,79.2,97.0,97.5,97.2,62.0,61.5,61.8,42.4,44.2,43.3"
"Manipur,100,100,100,68.8,71.4,70.1,100,100,100,51.6,53.3,52.5,38.8,37.5,38.2"
"Meghalaya,100,100,100,62.5,71.9,67.1,100,100,100,38.6,48.5,43.5,21.9,27.0,24.4"
"Mizoram,100,100,100,68.0,70.4,69.2,100,100,100,49.1,55.6,52.3,28.8,31.8,30.2"
"Nagaland,76.9,79.9,78.3,49.0,53.6,51.2,73.3,77.2,75.2,34.5,39.6,36.9,18.6,21.6,20.0"
"Odisha,77.2,76.3,76.8,63.5,61.4,62.5,83.4,81.9,82.6,42.4,42.6,42.5,35.7,38.3,37.0"
"Puducherry,72.0,73.6,72.8,61.8,62.7,62.3,76.1,77.2,76.6,48.6,50.9,49.7,40.6,46.0,43.2"
"Punjab,100,100,100,96.9,100,98.4,100,100,100,78.1,85.8,81.5,52.5,59.1,55.5"
"Rajasthan,86.2,87.5,86.8,67.0,63.1,65.2,88.5,87.4,88.0,51.2,45.8,48.6,35.8,31.1,33.6"
"Sikkim,81.6,78.6,80.1,53.5,57.4,55.4,79.6,78.1,78.9,41.5,48.6,45.0,21.8,27.5,24.6"
"Tamil Nadu,84.6,84.7,84.6,72.1,70.7,71.4,89.0,89.1,89.1,55.6,54.0,54.9,40.1,46.8,43.4"
"Telangana,94.8,95.0,94.8,72.8,72.9,72.8,95.8,96.0,95.9,56.9,57.2,57.0,26.1,36.1,30.9"
"Tripura,100,100,100,84.3,87.6,85.9,100,100,100,71.5,76.2,73.8,30.9,33.2,32.0"
"Uttar Pradesh,89.4,94.1,91.6,60.4,62.7,61.5,85.6,89.5,87.5,38.6,35.7,37.2,27.1,25.5,26.3"
"Uttarakhand,95.6,98.3,96.9,72.0,73.9,72.9,96.3,98.3,97.3,54.5,56.3,55.3,38.3,43.3,40.6"
"West Bengal,100,100,100,71.3,75.2,73.2,97.2,99.3,98.2,56.1,68.7,62.3,35.8,43.0,39.4"
