"State/UT,NER - Foundational (Pre-Primary to Class II) - Male,NER - Foundational (Pre-Primary to Class II) - Female,NER - Foundational (Pre-Primary to Class II) - Total,NER - Preparatory (Class III to Class V) - Male,NER - Preparatory (Class III to Class V) - Female,NER - Preparatory (Class III to Class V) - Total,NER - Middle (Class VI to Class VIII) - Male,NER - Middle (Class VI to Class VIII) - Female,NER - Middle (Class VI to Class VIII) - Total,NER - Secondary (Class IX to XII) - Male,NER - Secondary (Class IX to XII) - Female,NER - Secondary (Class IX to XII) - Total"
"India,36.7,37.2,36.9,67.6,70.1,68.8,63.6,66.1,64.8,50.8,53.7,52.2"
"Andaman & Nicobar Islands,65.4,64.4,64.9,70.8,71.1,70.9,64.9,67.3,66.0,63.6,74.2,68.5"
"Andhra Pradesh,47.1,46.7,46.9,63.2,61.8,62.5,67.8,66.3,67.1,57.1,58.1,57.6"
"Arunachal Pradesh,60.2,61.0,60.6,66.3,69.1,67.6,51.1,56.0,53.5,39.5,43.4,41.4"
"Assam,46.1,48.3,47.1,76.4,82.6,79.4,61.6,71.4,66.3,44.1,55.6,49.8"
"Bihar,20.1,20.3,20.2,59.7,63.8,61.6,46.6,51.4,48.9,32.1,36.8,34.3"
"Chandigarh,58.7,61.5,60.0,82.8,91.7,86.8,88.4,100.0,94.5,83.0,100.0,90.3"
"Chhattisgarh,45.1,45.3,45.2,71.5,73.1,72.3,70.7,73.2,71.9,46.2,54.9,50.5"
"Dadra & Nagar Haveli and Daman & Diu,57.9,56.3,57.2,88.0,91.5,89.7,86.0,93.9,89.5,60.2,86.8,71.1"
"Delhi,48.7,53.9,51.0,74.8,80.1,77.2,81.9,86.7,84.1,70.1,75.3,72.5"
"Goa,70.5,68.5,69.5,98.0,98.0,98.0,93.0,99.6,96.1,80.9,91.1,85.7"
"Gujarat,34.8,36.1,35.4,68.0,71.6,69.6,66.5,68.6,67.3,44.6,45.2,44.9"
"Haryana,40.5,42.1,41.2,68.1,68.5,68.3,71.3,71.2,71.3,62.1,62.5,62.3"
"Himachal Pradesh,67.0,66.7,66.8,67.9,67.7,67.8,63.1,64.0,63.5,62.0,64.6,63.2"
"Jammu & Kashmir,84.8,83.1,83.9,76.0,78.6,77.2,51.2,54.3,52.6,39.7,41.6,40.6"
"Jharkhand,32.5,32.2,32.3,67.6,70.9,69.1,56.4,61.0,58.6,45.2,49.7,47.4"
"Karnataka,40.5,41.2,40.9,89.6,91.1,90.3,85.1,86.3,85.7,64.0,70.7,67.3"
"Kerala,55.3,55.4,55.4,80.5,80.2,80.3,82.6,83.7,83.2,80.6,82.6,81.6"
"Ladakh,81.2,76.7,78.9,75.8,79.5,77.6,53.4,66.2,59.4,47.8,59.2,53.4"
"Lakshadweep,61.5,61.9,61.7,88.4,84.0,86.2,70.5,69.6,70.1,56.3,57.9,57.1"
"Madhya Pradesh,36.8,35.2,36.1,56.2,56.1,56.2,57.5,57.8,57.6,41.6,42.2,41.9"
"Maharashtra,38.4,40.7,39.5,87.0,93.2,89.9,80.7,83.7,82.1,65.9,66.5,66.2"
"Manipur,78.1,79.5,78.8,91.3,94.5,92.9,62.8,66.6,64.6,51.2,53.4,52.3"
"Mizoram,99.8,100.0,100.0,94.5,100.0,99.7,63.5,80.0,71.5,39.0,55.3,47.0"
"Nagaland,78.3,82.4,80.3,84.4,89.9,87.0,75.6,84.0,79.6,56.4,66.2,61.2"
"Odisha,69.7,71.7,70.7,62.0,66.2,64.0,47.6,53.9,50.6,37.1,44.1,40.5"
"Puducherry,33.9,33.7,33.8,72.3,72.2,72.3,69.5,69.9,69.7,51.7,54.7,53.1"
"Punjab,63.5,61.1,62.3,56.6,56.3,56.5,57.8,59.9,58.8,60.8,70.2,65.2"
"Rajasthan,74.0,74.3,74.1,79.9,80.2,80.1,74.9,75.4,75.1,65.7,68.4,66.9"
"Sikkim,38.2,37.6,37.9,63.9,65.6,64.7,63.8,64.1,63.9,56.8,54.9,55.9"
"Tamil Nadu,79.1,78.6,78.9,66.5,65.8,66.2,52.6,54.5,53.5,44.2,49.1,46.6"
"Telangana,53.1,53.7,53.4,60.0,60.6,60.3,64.3,64.9,64.6,61.2,66.3,63.7"
"Tripura,58.7,59.3,59.0,80.4,81.1,80.7,79.5,79.6,79.6,62.3,65.4,63.8"
"Uttar Pradesh,51.6,52.7,52.1,97.2,100.0,99.2,81.9,89.7,85.7,56.4,64.7,60.4"
"Uttarakhand,25.6,26.0,25.8,57.4,60.3,58.8,54.2,57.0,55.5,43.1,43.3,43.2"
"West Bengal,52.2,54.1,53.1,76.1,80.8,78.2,71.2,74.9,72.9,63.5,68.3,65.7"
