"State/UT,Total Schools - All management,Total Schools - Govt.,Total Schools - Pvt. aided,Total Schools - Pvt. unaided,Total Schools - Others,Schools with internet facility - All management,Schools with internet facility - Govt.,Schools with internet facility - Pvt. aided,Schools with internet facility - Pvt. unaided,Schools with internet facility - Others,% of Schools with internet facility - All management,% of Schools with internet facility - Govt.,% of Schools with internet facility - Pvt. aided,% of Schools with internet facility - Pvt. unaided,% of Schools with internet facility - Others"
"India,1507708,1032570,84362,337499,53277,335882,119581,35583,169304,11414,22.28,11.58,42.18,50.16,21.42"
"Andaman and Nicobar Islands,418,342,2,73,1,113,68,2,43,0,27.03,19.88,100.00,58.9,0.00"
"Andhra Pradesh,63824,49115,2234,16173,302,14514,4104,320,10036,54,22.74,9.1,14.32,62.05,17.88"
"Arunachal Pradesh,3666,3056,65,493,52,307,105,25,173,3,8.37,3.44,40,35.09,5.77"
"Assam,65907,47157,5024,6074,7652,3836,2037,128,1607,64,5.82,4.32,2.55,26.46,0.84"
"Bihar,90275,72610,721,7630,9314,7671,1492,37,3390,2752,8.5,2.05,5.13,44.43,29.55"
"Chandigarh,229,121,7,74,27,223,121,7,74,21,97.38,100,100,100,77.78"
"Chhattisgarh,56303,48547,431,7008,317,4891,1627,96,3138,30,8.69,3.35,22.27,44.78,9.46"
"Dadra and Nagar Haveli,346,300,4,42,0,86,44,4,38,0,24.85,14.67,100,90.48,0"
"Daman and Diu,137,109,4,23,1,102,77,3,21,1,74.45,70.64,75,91.3,100"
"Delhi,5669,2767,250,2652,0,4858,2440,204,2214,0,85.69,88.18,81.6,83.48,0"
"Goa,1482,827,517,138,0,575,70,395,110,0,38.8,8.46,76.4,79.71,0"
"Gujarat,54629,35040,5688,13898,3,38658,23434,3873,11349,2,70.78,66.88,68.09,81.66,66.67"
"Haryana,23699,14484,17,8195,1003,10172,2879,13,6698,582,42.92,19.88,76.47,81.73,58.03"
"Himachal Pradesh,18185,15398,0,2786,1,4146,2153,0,1993,0,22.8,13.98,0,71.54,0"
"Jammu and Kashmir,28863,23165,1,5585,112,3460,1281,0,2238,21,11.99,5.18,0,40.07,18.75"
"Jharkhand,45596,35931,1173,1522,6970,15001,10891,194,999,2917,32.9,30.31,16.54,65.64,41.85"
"Karnataka,77166,49834,7244,20069,19,19020,3862,2623,12530,5,24.65,7.75,36.21,62.43,26.32"
"Kerala,16665,5014,7193,3282,1176,14638,4393,6527,2952,766,87.84,87.61,90.74,89.95,65.14"
"Ladakh,1054,913,29,112,0,57,17,2,38,0,5.41,1.86,6.9,33.93,0"
"Lakshadweep,45,45,0,0,0,42,42,0,0,0,93.33,93.33,0,0,0"
"Madhya Pradesh,133379,99411,790,31201,1977,18805,3792,225,14499,289,14.1,3.81,28.48,46.47,14.62"
"Maharashtra,110229,65886,23791,19654,898,39014,7149,15126,16115,624,35.39,10.85,63.58,81.99,69.49"
"Manipur,4663,2876,585,1015,187,719,68,10,576,65,15.42,2.36,1.71,56.75,34.76"
"Meghalaya,14730,7799,4180,2198,553,572,99,246,190,37,3.88,1.27,5.89,8.64,6.69"
"Mizoram,3924,2552,231,1046,95,282,60,36,166,20,7.19,2.35,15.58,15.87,21.05"
"Nagaland,2758,2011,0,746,1,434,61,0,372,1,15.74,3.03,0,49.87,100"
"Odisha,67020,53260,5839,5375,1546,4328,1450,335,2231,312,6.46,2.72,5.74,35,20.18"
"Puducherry,741,422,33,286,0,484,180,33,271,0,65.32,42.65,100,94.76,0"
"Punjab,28775,19377,457,8623,318,14087,6830,12,7010,235,48.96,35.25,2.63,81.29,73.9"
"Rajasthan,106240,67660,0,36056,2524,38561,16332,0,22051,178,36.3,24.14,0,61.16,7.05"
"Sikkim,1277,851,19,407,0,247,112,5,130,0,19.34,13.16,26.32,31.94,0"
"Tamil Nadu,58897,37979,8328,12382,608,18819,6746,2370,9341,362,31.95,17.95,28.46,75.44,59.54"
"Telangana,42575,30001,702,11688,184,8859,2408,163,6277,11,20.81,8.03,23.22,53.7,5.98"
"Tripura,4940,4275,45,352,268,190,69,13,89,19,3.85,1.61,28.89,25.28,7.09"
"Uttar Pradesh,254352,137638,8048,93750,14916,34638,4042,2323,26492,1781,13.62,2.94,28.86,28.26,11.94"
"Uttarakhand,23295,16741,617,5467,470,3883,1071,204,2498,110,16.67,6.4,33.06,45.69,23.4"
"West Bengal,95755,83456,93,10424,1782,9590,8055,28,1355,152,10.02,9.65,30.11,13,8.53"
