"State/UT,NER - Primary (1 to 5) - Boys,NER - Primary (1 to 5) - Girls,NER - Primary (1 to 5) - Total,NER - Upper Primary (6 to 8) - Boys,NER - Upper Primary (6 to 8) - Girls,NER - Upper Primary (6 to 8) - Total,NER - Elementary (1 to 8) - Boys,NER - Elementary (1 to 8) - Girls,NER - Elementary (1 to 8) - Total,NER - Secondary (9-10) - Boys,NER - Secondary (9-10) - Girls,NER - Secondary (9-10) - Total,NER - Higher Secondary (11-12) - Boys,NER - Higher Secondary (11-12) - Girls,NER - Higher Secondary (11-12) - Total"
"Meghalaya,100.0,100.0,100.0,66.5,76.4,71.4,100.0,100.0,100.0,40.7,49.6,45.1,20.0,24.3,22.1"
"Mizoram,100.0,100.0,100.0,70.8,73.4,72.1,100.0,100.0,100.0,45.8,52.6,49.1,27.7,31.2,29.4"
"Nagaland,80.5,83.9,82.1,49.4,53.5,51.4,74.4,78.9,76.5,35.7,40.7,38.1,17.3,21.5,19.3"
"Odisha,87.9,87.8,87.8,66.6,63.1,64.9,90.8,89.7,90.3,42.5,41.5,42.0,40.6,44.7,42.6"
"Puducherry,71.0,72.4,71.7,62.7,63.7,63.2,74.9,75.6,75.3,49.1,55.4,52.1,42.2,51.3,46.6"
"Punjab,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.4,93.7,94.6,56.4,63.0,59.4"
"Rajasthan,88.1,89.7,88.9,69.7,66.3,68.1,90.7,90.0,90.4,51.5,46.3,49.0,37.4,33.5,35.6"
"Sikkim,87.6,84.1,85.9,54.6,56.9,55.7,81.5,79.4,80.5,42.9,47.8,45.3,26.3,33.7,29.9"
"Tamil Nadu,84.7,85.4,85.1,74.1,72.6,73.4,89.4,89.7,89.6,58.8,56.7,57.8,43.5,49.8,46.6"
"Telangana,94.2,95.6,94.8,78.0,76.6,77.2,98.0,98.5,98.2,58.7,58.2,58.5,33.7,42.0,37.7"
"Tripura,100.0,100.0,100.0,78.5,81.7,80.1,100.0,100.0,100.0,59.3,66.2,62.7,32.4,37.0,34.6"
"Uttar Pradesh,89.7,94.4,91.9,63.2,65.0,64.1,87.4,91.2,89.2,40.0,36.1,38.1,28.5,26.5,27.6"
"Uttarakhand,98.1,100.0,99.8,74.2,75.8,74.9,98.2,100.0,99.5,55.9,56.5,56.1,42.1,46.1,44.0"
"West Bengal,100.0,100.0,100.0,75.5,78.2,76.8,100.0,100.0,100.0,60.3,72.5,66.3,38.3,45.7,41.9"
