"State/UT,NER - Primary (1 to 5) - Boys,NER - Primary (1 to 5) - Girls,NER - Primary (1 to 5) - Total,NER - Upper Primary (6 to 8) - Boys,NER - Upper Primary (6 to 8) - Girls,NER - Upper Primary (6 to 8) - Total,NER - Elementary (1 to 8) - Boys,NER - Elementary (1 to 8) - Girls,NER - Elementary (1 to 8) - Total,NER - Secondary (9-10) - Boys,NER - Secondary (9-10) - Girls,NER - Secondary (9-10) - Total,NER - Higher Secondary (11-12) - Boys,NER - Higher Secondary (11-12) - Girls,NER - Higher Secondary (11-12) - Total"
"India,91.6,93.8,92.7,73.6,74.5,74.1,91.3,92.9,92.1,52.6,52.4,52.5,33.9,35.6,34.7"
"Andaman and Nicobar Islands,64.3,68.3,66.2,55.1,58.7,56.8,66.6,70.1,68.3,47.7,51.5,49.5,29.3,39.4,34.0"
"Andhra Pradesh,84.6,82.4,83.6,96.4,92.9,94.7,89.1,86.5,87.8,84.9,83.5,84.2,51.8,55.0,53.4"
"Arunachal Pradesh,98.6,100.0,100.0,56.2,61.0,58.6,91.4,95.4,93.4,38.7,42.3,40.5,22.5,25.1,23.8"
"Assam,100.0,100.0,100.0,76.9,84.6,80.7,100.0,100.0,100.0,50.8,60.4,55.5,21.3,22.5,21.9"
"Bihar,92.9,95.1,93.9,73.0,77.8,75.4,88.4,91.5,89.9,37.3,40.0,38.6,17.7,18.0,17.8"
"Chandigarh,68.9,77.9,72.9,71.7,81.4,76.0,76.5,86.1,80.7,58.8,66.8,62.2,51.2,63.9,56.5"
"Chhattisgarh,90.3,90.6,90.4,75.3,76.0,75.7,88.7,89.0,88.8,55.6,60.3,57.9,34.4,42.2,38.2"
"Dadra and Nagar Haveli and Daman and Diu,75.2,80.6,77.7,69.4,73.6,71.3,80.6,85.3,82.8,48.0,56.9,51.9,22.7,39.3,29.2"
"Delhi,97.9,100.0,100.0,94.4,99.0,96.6,100.0,100.0,100.0,73.4,76.4,74.8,49.6,54.5,51.8"
"Goa,86.1,90.3,88.1,75.3,78.8,77.0,86.2,90.0,88.0,66.8,69.0,67.8,41.9,49.6,45.6"
"Gujarat,81.1,84.9,82.9,71.9,72.4,72.2,84.0,86.7,85.2,58.7,53.0,56.1,29.8,30.2,30.0"
"Haryana,82.1,81.7,82.0,71.3,69.7,70.5,88.5,87.9,88.3,56.4,52.8,54.8,38.3,39.2,38.7"
"Himachal Pradesh,91.3,92.5,91.6,76.7,78.6,77.8,93.7,95.4,94.5,67.4,66.5,67.0,55.0,58.3,56.5"
"Jammu and Kashmir,80.8,82.7,81.7,45.9,48.6,47.1,73.2,76.2,74.6,34.7,34.8,34.7,29.3,28.6,29.0"
"Jharkhand,93.2,94.1,93.6,71.6,74.3,73.0,89.9,91.1,90.5,40.7,43.2,41.9,25.7,26.5,26.1"
"Karnataka,97.5,97.8,97.6,88.7,88.2,88.5,99.5,99.5,99.5,72.3,70.7,71.5,38.5,44.3,41.3"
"Kerala,90.8,90.7,90.7,83.2,83.3,83.2,93.5,93.4,93.4,76.8,76.3,76.7,61.0,67.3,64.0"
"Ladakh,64.6,68.9,66.6,43.3,51.6,47.2,63.7,70.7,67.0,32.1,37.1,34.5,19.9,32.9,26.2"
"Lakshadweep,76.6,79.1,77.8,59.5,47.9,53.4,72.4,67.7,70.1,66.3,66.0,66.2,64.8,55.4,60.0"
"Madhya Pradesh,79.2,79.3,79.3,71.3,70.0,70.7,83.1,82.4,82.8,44.5,42.3,43.5,26.4,26.7,26.5"
"Maharashtra,94.5,98.0,96.1,79.3,78.9,79.1,95.3,96.9,96.0,61.1,60.8,61.0,42.7,44.4,43.5"
"Manipur,100.0,100.0,100.0,69.6,72.6,71.1,100.0,100.0,100.0,53.5,55.2,54.3,44.4,44.6,44.5"
