"State/UT,Total Schools - All management,Total Schools - Govt.,Total Schools - Pvt. aided,Total Schools - Pvt. unaided,Total Schools - Others,Schools with internet facility - All management,Schools with internet facility - Govt.,Schools with internet facility - Pvt. aided,Schools with internet facility - Pvt. unaided,Schools with internet facility - Others,% of Schools with internet facility - All management,% of Schools with internet facility - Govt.,% of Schools with internet facility - Pvt. aided,% of Schools with internet facility - Pvt. unaided,% of Schools with internet facility - Others"
"India,1466109,1016010,81486,323430,45183,728042,423571,57321,230002,17148,49.7,41.7,70.3,71.1,38"
"Andaman & Nicobar Islands,414,342,2,70,0,209,149,2,58,0,50.5,43.6,100,82.9,0"
"Andhra Pradesh,61680,45167,1202,15127,184,61422,44920,1197,15122,183,99.6,99.5,99.6,100,99.5"
"Arunachal Pradesh,3543,2922,71,503,47,935,558,43,318,16,26.4,19.1,60.6,63.2,34"
"Assam,58876,44925,3386,5677,4888,9415,6649,311,2181,274,16,14.8,9.2,38.4,5.6"
"Bihar,91447,75550,724,8053,7120,15381,7973,100,4603,2705,16.8,10.6,13.8,57.2,38"
"Chandigarh,230,119,7,77,27,228,119,7,77,25,99.1,100,100,100,92.6"
"Chhattisgarh,56333,48728,415,6931,259,34356,29317,251,4711,77,61,60.2,60.5,68,29.7"
"Dadra & Nagar Haveli and Daman & Diu,459,387,8,63,1,400,329,8,62,1,87.1,85,100,98.4,100"
"Delhi,5488,2673,245,2570,0,5488,2673,245,2570,0,100,100,100,100,0"
"Goa,1504,806,558,140,0,1428,741,548,139,0,94.9,91.9,98.2,99.3,0"
"Gujarat,53603,34651,5562,13387,3,50606,33364,4682,12557,3,94.4,96.3,84.2,93.8,100"
"Haryana,23561,14443,6,8315,797,13461,5342,6,7496,617,57.1,37,100,90.2,77.4"
"Himachal Pradesh,18062,15447,0,2613,2,6432,4362,0,2070,0,35.6,28.2,0,79.2,0"
"Jammu & Kashmir,24278,18785,1,5407,85,9815,6268,0,3500,47,40.4,33.4,0,64.7,55.3"
"Jharkhand,44596,35764,1149,1583,6100,21330,16071,472,1246,3541,47.8,44.9,41.1,78.7,58"
"Karnataka,76090,49520,7029,19531,10,31355,12504,3800,15048,3,41.2,25.3,54.1,77,30"
"Kerala,15934,4811,7178,3095,850,15525,4683,7004,3045,793,97.4,97.3,97.6,98.4,93.3"
"Ladakh,979,841,27,111,0,430,356,11,63,0,43.9,42.3,40.7,56.8,0"
"Lakshadweep,37,37,0,0,0,35,35,0,0,0,94.6,94.6,0,0,0"
"Madhya Pradesh,122937,92741,615,28047,1534,48873,26584,292,21333,664,39.8,28.7,47.5,76.1,43.3"
"Maharashtra,108451,65431,23964,18723,333,67839,31495,19109,16936,299,62.6,48.1,79.7,90.5,89.8"
"Manipur,4627,2922,583,996,126,1292,470,84,690,48,27.9,16.1,14.4,69.3,38.1"
"Meghalaya,14588,7778,4173,2121,516,3282,1612,1012,566,92,22.5,20.7,24.3,26.7,17.8"
"Mizoram,3891,2567,230,1023,71,498,240,45,197,16,12.8,9.3,19.6,19.3,22.5"
"Nagaland,2717,1954,0,762,1,1507,922,0,584,1,55.5,47.2,0,76.6,100"
"Odisha,61891,48767,5920,6062,1142,45607,35554,4524,4745,784,73.7,72.9,76.4,78.3,68.7"
"Puducherry,729,422,33,274,0,729,422,33,274,0,100,100,100,100,0"
"Punjab,27592,19245,447,7886,14,18395,10817,401,7170,7,66.7,56.2,89.7,90.9,50"
"Rajasthan,106670,69538,0,34497,2635,70074,41653,0,27644,777,65.7,59.9,0,80.1,29.5"
"Sikkim,1250,864,18,368,0,570,344,8,218,0,45.6,39.8,44.4,59.2,0"
"Tamil Nadu,58150,37658,8279,11969,244,58150,37658,8279,11969,244,100,100,100,100,100"
"Telangana,42476,29997,670,11707,102,13125,3640,214,9259,12,30.9,12.1,31.9,79.1,11.8"
"Tripura,4912,4245,43,367,257,1475,1218,15,214,28,30,28.7,34.9,58.3,10.9"
"Uttar Pradesh,251094,137003,8249,92348,13494,87186,32065,4122,46563,4436,34.7,23.4,50,50.4,32.9"
"Uttarakhand,22618,16381,613,5140,484,16192,11130,446,4241,375,71.6,67.9,72.8,82.5,77.5"
"West Bengal,94402,82579,79,7887,3857,14997,11334,50,2533,1080,15.9,13.7,63.3,32.1,28"
