"State/UT,Total Schools - All management,Total Schools - Govt.,Total Schools - Pvt. aided,Total Schools - Pvt. unaided,Total Schools - Others,Schools with internet facility - All management,Schools with internet facility - Govt.,Schools with internet facility - Pvt. aided,Schools with internet facility - Pvt. unaided,Schools with internet facility - Others,% of Schools with internet facility - All management,% of Schools with internet facility - Govt.,% of Schools with internet facility - Pvt. aided,% of Schools with internet facility - Pvt. unaided,% of Schools with internet facility - Others"
"India,1551000,1083747,84623,326228,56402,299447,105959,32648,141619,10221,19.31,9.78,38.58,43.41,18.12"
"Andaman and Nicobar Islands,414,339,2,72,1,107,65,2,40,0,25.85,19.17,100.00,55.56,0.00"
"Andhra Pradesh,63621,45013,2346,15862,400,10954,3676,200,7023,55,17.22,8.17,8.53,44.28,13.75"
"Arunachal Pradesh,3793,3179,64,503,47,272,110,23,131,8,7.17,3.46,35.94,26.04,17.02"
"Assam,66324,47223,5065,6084,7952,3662,1995,130,1459,78,5.52,4.22,2.57,23.98,0.98"
"Bihar,89224,72630,698,6249,9647,5991,1487,29,2111,2364,6.71,2.05,4.15,33.78,24.51"
"Chandigarh,229,121,7,74,27,222,121,7,74,20,96.94,100.00,100.00,100.00,74.07"
"Chhattisgarh,56274,48671,434,6842,327,3078,834,66,2158,20,5.47,1.71,15.21,31.54,6.12"
"Dadra and Nagar Haveli,346,300,10,35,1,75,40,4,30,1,21.68,13.33,40.00,85.71,100.00"
"Daman and Diu,140,112,4,23,1,102,77,3,21,1,72.86,68.75,75.00,91.3,100.00"
"Delhi,5703,2784,253,2666,0,4694,2355,201,2138,0,82.31,84.59,79.45,80.2,0.00"
"Goa,1486,833,514,139,0,601,85,407,109,0,40.44,10.2,79.18,78.42,0.00"
"Gujarat,54581,35202,5734,13641,4,36351,21788,3907,10653,3,66.6,61.89,68.14,78.1,75.00"
"Haryana,23554,14516,26,7913,1079,9705,2953,19,6163,570,41.2,20.34,73.08,77.88,52.83"
"Himachal Pradesh,18212,15433,0,2778,1,3938,2059,0,1879,0,21.62,13.34,0.00,67.64,0.00"
"Jammu and Kashmir,28654,23167,1,5439,47,3513,1421,0,2086,6,12.26,6.13,0.00,38.35,12.77"
"Jharkhand,45908,35954,1177,1400,7377,13579,9990,171,825,2593,29.58,27.79,14.53,58.93,35.15"
"Karnataka,78233,50184,7417,20604,28,9246,1104,1022,7116,4,11.82,2.2,13.78,34.54,14.29"
"Kerala,16701,5011,7195,3156,1339,14633,4436,6551,2772,874,87.62,88.53,91.05,87.83,65.27"
"Ladakh,1054,913,28,113,0,57,22,1,34,0,5.41,2.41,3.57,30.09,0.00"
"Lakshadweep,45,45,0,0,0,38,38,0,0,0,84.44,84.44,0.00,0.00,0.00"
"Madhya Pradesh,154064,122056,874,29182,1952,17386,4042,218,12844,282,11.28,3.31,24.94,44.01,14.45"
"Maharashtra,109942,66033,23554,19400,955,37870,6933,14723,15579,635,34.45,10.5,62.51,80.3,66.49"
"Manipur,4844,3073,587,1003,181,647,70,8,510,59,13.36,2.28,1.36,50.85,32.6"
"Meghalaya,14669,7802,4181,2220,466,550,114,234,173,29,3.75,1.46,5.6,7.79,6.22"
"Mizoram,3913,2564,231,1025,93,272,63,36,159,14,6.95,2.46,15.58,15.51,15.05"
"Nagaland,2752,2007,0,745,0,414,61,0,353,0,15.04,3.04,0.00,47.38,0.00"
"Odisha,68717,55483,5770,4957,2507,4300,4185,102,13,0,6.26,7.54,1.77,0.26,0.00"
"Puducherry,739,423,33,283,0,492,198,31,263,0,66.58,46.81,93.94,92.93,0.00"
"Punjab,28637,19404,458,8495,280,13303,6157,339,6608,199,46.45,31.73,74.02,77.79,71.07"
"Rajasthan,105883,67607,0,35776,2500,31978,11206,0,20643,129,30.2,16.58,0.00,57.7,5.16"
"Sikkim,1290,854,19,417,0,241,107,5,129,0,18.68,12.53,26.32,30.94,0.00"
"Tamil Nadu,59152,37728,8355,12439,630,14083,3812,1831,8164,276,23.81,10.1,21.92,65.63,43.81"
"Telangana,42355,29822,707,11621,205,7756,2127,162,5452,15,18.31,7.13,22.91,46.92,7.32"
"Tripura,4945,4309,46,343,247,169,68,12,75,14,3.42,1.58,26.09,21.87,5.67"
"Uttar Pradesh,273235,163142,8090,87433,14570,29751,5405,1980,20841,1525,10.89,3.31,24.47,23.84,10.47"
"Uttarakhand,23559,16934,616,5519,490,3665,984,193,2370,118,15.55,5.81,31.33,42.94,23.67"
"West Bengal,97828,82876,127,11777,3048,6754,5771,31,621,331,6.9,6.96,24.41,5.27,10.86"
