"State/UT,Promotion Rate - Primary (1 to 5) - Boys,Promotion Rate - Primary (1 to 5) - Girls,Promotion Rate - Primary (1 to 5) - Total,Promotion Rate - Upper Primary (6-8) - Boys,Promotion Rate - Upper Primary (6-8) - Girls,Promotion Rate - Upper Primary (6-8) - Total,Promotion Rate - Secondary (9-10) - Boys,Promotion Rate - Secondary (9-10) - Girls,Promotion Rate - Secondary (9-10) - Total"
"India,99.0,99.2,99.1,98.3,97.6,97.9,84.8,85.4,85.1"
"Andaman and Nicobar Islands,97.9,97.5,97.7,100.0,99.5,99.8,92.3,93.0,92.6"
"Andhra Pradesh,100.0,100.0,100.0,99.5,99.5,99.5,82.7,83.9,83.3"
"Arunachal Pradesh,88.8,91.7,90.2,90.4,91.9,91.2,89.9,87.8,88.8"
"Assam,95.8,97.6,96.7,93.9,96.7,95.4,69.7,67.3,68.4"
"Bihar,100.0,100.0,100.0,97.9,96.6,97.2,83.7,81.0,82.4"
"Chandigarh,100.0,100.0,100.0,100.0,100.0,100.0,97.4,98.6,97.9"
"Chhattisgarh,99.0,99.3,99.2,95.2,96.7,95.9,84.2,88.5,86.4"
"Dadra and Nagar Haveli and Diu,95.9,96.9,96.4,100.0,100.0,100.0,72.9,82.0,77.2"
"Delhi,100.0,100.0,100.0,100.0,100.0,100.0,89.3,91.5,90.4"
"Goa,98.4,98.5,98.5,99.6,99.3,99.4,93.0,94.5,93.7"
"Gujarat,99.1,98.9,99.0,96.3,94.5,95.5,74.9,79.1,76.7"
"Haryana,97.7,97.9,97.8,100.0,100.0,100.0,83.6,87.3,85.2"
"Himachal Pradesh,98.1,98.1,98.1,98.6,98.7,98.7,91.8,92.8,92.3"
"Jammu and Kashmir,95.4,95.7,95.5,97.2,95.7,96.5,96.9,95.2,96.1"
"Jharkhand,95.8,96.9,96.3,94.8,94.5,94.6,86.6,86.0,86.3"
"Karnataka,98.6,99.0,98.8,97.8,98.0,97.9,81.4,85.0,83.1"
"Kerala,99.9,100.0,99.9,100.0,100.0,100.0,90.7,95.1,92.9"
"Ladakh,96.0,95.7,95.8,96.8,98.8,97.8,93.8,98.5,96.2"
"Lakshadweep,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0"
"Madhya Pradesh,98.5,98.7,98.6,95.3,94.6,94.9,72.2,75.4,73.7"
"Maharashtra,98.9,99.1,99.0,98.8,98.4,98.6,88.5,88.7,88.6"
"Manipur,90.8,91.6,91.2,95.3,96.1,95.7,90.0,90.1,90.0"
"Meghalaya,89.8,92.9,91.3,88.0,91.0,89.6,67.3,69.6,68.5"
"Mizoram,91.3,92.2,91.8,92.8,96.5,94.6,74.6,78.7,76.7"
"Nagaland,91.1,92.8,91.9,91.9,94.5,93.2,68.0,71.3,69.7"
"Odisha,100.0,100.0,100.0,100.0,100.0,100.0,83.3,84.6,84.0"
"Puducherry,100.0,100.0,100.0,100.0,100.0,100.0,91.6,94.7,93.1"
"Punjab,100.0,100.0,100.0,100.0,100.0,100.0,92.7,88.9,91.0"
"Rajasthan,99.1,98.8,99.0,97.5,97.2,97.4,90.9,91.2,91.0"
"Sikkim,97.8,99.7,98.7,100.0,100.0,100.0,70.5,77.9,74.4"
"Tamil Nadu,99.3,99.5,99.4,99.4,99.4,99.4,91.3,95.9,93.6"
"Telangana,100.0,100.0,100.0,100.0,100.0,100.0,85.7,86.6,86.1"
"Tripura,95.4,96.1,95.7,96.0,96.9,96.5,68.0,70.7,69.4"
"Uttar Pradesh,97.6,97.8,97.7,97.3,93.4,95.4,87.9,86.8,87.4"
"Uttarakhand,98.2,98.3,98.3,98.7,98.4,98.6,89.2,92.1,90.6"
"West Bengal,99.6,99.9,99.8,100.0,100.0,100.0,82.5,81.9,82.1"
