"State/UT,Total Schools - All management,Total Schools - Govt.,Total Schools - Pvt. aided,Total Schools - Pvt. unaided,Total Schools - Others,Schools with functional computer facility - All management,Schools with functional computer facility - Govt.,Schools with functional computer facility - Pvt. aided,Schools with functional computer facility - Pvt. unaided,Schools with functional computer facility - Others,% of Schools with functional computer facility - All management,% of Schools with functional computer facility - Govt.,% of Schools with functional computer facility - Pvt. aided,% of Schools with functional computer facility - Pvt. unaided,% of Schools with functional computer facility - Others"
"India,1509136,1032049,84295,340753,52039,601857,321024,50947,213647,16239,39.88,31.11,60.44,62.7,31.21"
"Andaman and Nicobar Islands,417,342,2,73,0,256,190,2,64,0,61.39,55.56,100.00,87.67,0.00"
"Andhra Pradesh,63343,45145,2121,15792,285,23362,10033,335,12893,101,36.88,22.22,15.79,81.64,35.44"
"Arunachal Pradesh,3675,3061,67,496,51,944,476,58,379,31,25.69,15.55,86.57,76.41,60.78"
"Assam,65203,46749,4983,6045,7426,8953,5808,258,2787,100,13.73,12.42,5.18,46.1,1.35"
"Bihar,93459,75555,735,7923,9246,13535,4035,115,4847,4167,14.09,5.34,15.65,61.18,45.07"
"Chandigarh,230,121,7,75,27,228,120,7,75,26,99.13,99.17,100.00,100.00,96.30"
"Chhattisgarh,56494,48619,430,7131,314,45447,40014,189,5136,108,80.45,82.3,43.95,72.02,34.39"
"Dadra and Nagar Haveli and Daman and Diu,479,407,8,63,1,424,357,8,58,1,88.52,87.71,100.00,92.06,100.00"
"Delhi,5642,2751,250,2641,0,5642,2751,250,2641,0,100,100,100,100,0"
"Goa,1481,821,522,138,0,751,149,473,129,0,50.71,18.15,90.61,93.48,0"
"Gujarat,54444,34967,5640,13834,3,50333,32866,5411,12054,2,92.45,93.99,95.94,87.13,66.67"
"Haryana,23764,14563,17,8235,949,12808,4832,15,7240,721,53.9,33.18,88.24,87.92,75.97"
"Himachal Pradesh,18145,15391,0,2753,1,6183,3760,0,2423,0,34.08,24.43,0,88.01,0"
"Jammu and Kashmir,28930,23167,1,5649,113,8084,4193,1,3830,60,27.94,18.1,100,67.8,53.1"
"Jharkhand,45319,35888,1175,1542,6714,35133,29651,364,1257,3861,77.52,82.62,30.98,81.52,57.51"
"Karnataka,76905,49791,7182,19915,17,36048,16180,4805,15055,8,46.87,32.5,66.9,75.6,47.06"
"Kerala,16481,5020,7191,3241,1029,15827,4765,7121,3045,896,96.03,94.92,99.03,93.95,87.07"
"Ladakh,1056,915,29,112,0,362,269,9,84,0,34.28,29.4,31.03,75,0"
"Lakshadweep,45,45,0,0,0,45,45,0,0,0,100,100,0,0,0"
"Madhya Pradesh,133271,99152,773,31512,1834,21752,6624,176,14747,205,16.32,6.68,22.77,46.8,11.18"
"Maharashtra,110114,65734,23924,19632,824,80148,40607,20777,18076,688,72.79,61.77,86.85,92.07,83.5"
"Manipur,4653,2878,585,1027,163,1496,447,41,901,107,32.15,15.53,7.01,88.32,61.96"
"Meghalaya,14694,7795,4176,2179,544,2107,672,798,515,122,14.34,8.62,19.11,23.63,22.43"
"Mizoram,3925,2558,231,1050,86,1961,1017,178,708,58,49.96,39.76,77.06,67.43,67.44"
"Nagaland,2719,1975,0,743,1,1208,645,0,560,1,44.35,32.66,0,75.37,100"
"Odisha,64185,50256,5844,6393,1692,12308,7162,941,3583,620,19.17,14.25,16.1,56.05,36.64"
"Puducherry,741,422,33,286,0,697,378,33,286,0,94.06,89.57,100,100,0"
"Punjab,28695,19330,455,8893,17,28345,19279,406,8654,6,98.78,99.74,89.23,97.31,35.29"
"Rajasthan,107376,68813,0,36023,2540,48914,22141,0,26094,679,45.55,32.18,0,72.44,26.73"
"Sikkim,1263,851,19,393,0,981,649,12,320,0,77.67,76.26,63.16,81.42,0"
"Tamil Nadu,58904,37589,8326,12402,587,45936,29732,3817,11028,459,77.91,79.1,45.84,88.92,78.19"
"Telangana,42917,30015,700,12023,179,16099,7244,218,8605,32,37.51,24.13,31.14,71.57,17.88"
"Tripura,4934,4265,43,360,266,1015,689,29,245,52,20.57,16.15,67.44,68.06,19.55"
"Uttar Pradesh,256911,137068,8125,96741,14977,51814,7114,3644,38457,2599,20.17,5.19,44.85,39.75,17.35"
"Uttarakhand,23169,16651,614,5396,508,9046,4339,413,4090,204,39.04,26.06,67.26,75.8,40.16"
"West Bengal,95153,83379,87,10042,1645,14940,11791,43,2775,331,15.7,14.14,49.43,27.63,20.12"
