"State/UT,Total Schools - All management,Total Schools - Govt.,Total Schools - Pvt. aided,Total Schools - Pvt. unaided,Total Schools - Others,Schools with functional computer facility - All management,Schools with functional computer facility - Govt.,Schools with functional computer facility - Pvt. aided,Schools with functional computer facility - Pvt. unaided,Schools with functional computer facility - Others,% of Schools with functional computer facility - All management,% of Schools with functional computer facility - Govt.,% of Schools with functional computer facility - Pvt. aided,% of Schools with functional computer facility - Pvt. unaided,% of Schools with functional computer facility - Others"
"India,1471891,1017660,80313,331108,42810,748918,442223,55790,234782,16123,50.9,43.5,69.5,70.9,37.7"
"Andaman & Nicobar Islands,412,340,2,70,0,277,208,2,67,0,67.2,61.2,100.00,95.7,0.00"
"Andhra Pradesh,61373,45000,991,15232,150,51585,35640,743,15061,141,84.1,79.2,75.00,98.9,94.00"
"Arunachal Pradesh,3490,2847,72,529,42,1319,777,66,449,27,37.8,27.3,91.7,84.9,64.3"
"Assam,56630,45008,2267,5725,3630,17465,28436,138,2975,88,55.9,63.2,6.1,52,2.4"
"Bihar,94686,78120,723,9167,6676,17465,8538,74,5919,2934,18.4,10.9,10.2,64.6,43.9"
"Chandigarh,230,119,7,77,27,230,119,7,77,27,100.00,100.00,100.00,100.00,100.00"
"Chhattisgarh,56615,48803,414,7153,245,21243,16217,174,4798,54,37.5,33.2,42,67.1,22"
"Dadra & Nagar Haveli and Daman & Diu,432,360,8,63,1,417,345,8,63,1,96.5,95.8,100.00,100.00,100.00"
"Delhi,5497,2693,239,2565,0,5497,2693,239,2565,0,100.00,100.00,100.00,100.00,0.00"
"Goa,1487,789,557,141,0,816,158,527,131,0,54.9,20,94.6,92.9,0"
"Gujarat,53626,34597,5535,13490,4,51466,33491,5417,12554,4,96,96.8,97.9,93.1,100"
"Haryana,23517,14374,5,8415,723,22314,13920,4,7812,578,94.9,96.8,80,92.8,79.9"
"Himachal Pradesh,18226,15217,0,2607,2,8004,5618,0,2386,0,44.9,36.9,0,91.5,0"
"Jammu & Kashmir,24296,18785,1,5452,58,8612,4678,1,3898,35,35.4,24.9,100,71.5,60.3"
"Jharkhand,44475,35795,1146,1634,5900,18942,13250,426,1518,3748,42.6,37,30.4,87.3,66.4"
"Karnataka,75869,49306,7013,19542,8,36731,16489,4512,15724,6,48.4,33.4,64.3,80.5,75"
"Kerala,15864,4809,7162,3082,811,15722,4781,7129,3050,762,99.1,99.4,99.5,99,94"
"Ladakh,995,841,40,114,0,492,385,12,95,0,49.4,45.8,30,83.3,0"
"Lakshadweep,37,37,0,0,0,36,36,0,0,0,97.3,97.3,0,0,0"
"Madhya Pradesh,123412,92439,581,28910,1482,55672,34039,260,20933,440,45.1,36.8,44.8,72.4,29.7"
"Maharashtra,108237,65157,24173,18642,265,81906,41984,22022,17653,247,75.7,64.4,91.1,94.7,93.2"
"Manipur,4646,2934,584,1010,118,1489,419,41,832,57,30.5,16.7,7,82.4,48.3"
"Meghalaya,14601,7779,4168,2152,502,2482,786,911,638,147,17,10.1,21.9,29.6,29.3"
"Mizoram,3941,2587,230,1064,60,1680,893,142,610,35,42.6,34.5,61.7,57.3,58.3"
"Nagaland,2725,1952,0,772,1,1535,933,0,666,1,55.8,52.1,0,86.3,100"
"Odisha,61693,48671,5907,6042,1073,34401,25361,3697,4666,677,55.8,52.1,62.6,77.2,63.1"
"Puducherry,735,420,33,282,0,730,415,33,282,0,99.3,98.8,100,100,0"
"Punjab,27404,19242,444,7704,14,26524,18837,397,7280,10,96.8,97.9,89.4,94.5,71.4"
"Rajasthan,107757,70233,0,34729,2795,73634,44233,0,28829,681,45.6,33,0,69.4,24.4"
"Sikkim,1254,864,16,374,0,1111,852,10,249,0,88.6,87,62.5,93.3,0"
"Tamil Nadu,58722,37672,8314,12481,255,42348,27107,4316,10745,180,72.1,72,51.9,86.1,70.6"
"Telangana,42906,30022,662,12126,91,18118,18042,243,10634,20,70.2,64,36.7,87.7,22"
"Tripura,4923,4238,42,375,268,1942,1223,26,298,42,44.9,43.5,61.9,79.4,23.1"
"Uttar Pradesh,255087,137102,8291,96635,13059,86113,31133,3778,48191,3013,33.8,22.7,45.6,49.9,16.9"
"Uttarakhand,22551,16201,614,5252,484,16456,1200,457,4303,196,78.7,74,74.4,82,78.5"
"West Bengal,93945,82307,72,7480,4086,20488,15067,56,3563,1802,21.8,18.3,77.8,47.6,44.1"
