state_ut,variable,value,level,category
India,total_schools_all_management,1471473,total,schools
Andaman & Nicobar Islands,total_schools_all_management,408,total,schools
Andhra Pradesh,total_schools_all_management,61317,total,schools
Arunachal Pradesh,total_schools_all_management,3229,total,schools
Assam,total_schools_all_management,55263,total,schools
Bihar,total_schools_all_management,94339,total,schools
Chandigarh,total_schools_all_management,207,total,schools
Chhattisgarh,total_schools_all_management,56802,total,schools
Dadra & Nagar Haveli and Daman & Diu,total_schools_all_management,433,total,schools
Delhi,total_schools_all_management,5556,total,schools
Goa,total_schools_all_management,1479,total,schools
Gujarat,total_schools_all_management,53355,total,schools
Haryana,total_schools_all_management,23494,total,schools
Himachal Pradesh,total_schools_all_management,17330,total,schools
Jammu & Kashmir,total_schools_all_management,24192,total,schools
Jharkhand,total_schools_all_management,44376,total,schools
Karnataka,total_schools_all_management,74859,total,schools
Kerala,total_schools_all_management,15757,total,schools
Ladakh,total_schools_all_management,961,total,schools
Lakshadweep,total_schools_all_management,36,total,schools
Madhya Pradesh,total_schools_all_management,122120,total,schools
Maharashtra,total_schools_all_management,108250,total,schools
Manipur,total_schools_all_management,4666,total,schools
Meghalaya,total_schools_all_management,14587,total,schools
Mizoram,total_schools_all_management,3974,total,schools
Nagaland,total_schools_all_management,2750,total,schools
Odisha,total_schools_all_management,61565,total,schools
Puducherry,total_schools_all_management,763,total,schools
Punjab,total_schools_all_management,27281,total,schools
Rajasthan,total_schools_all_management,106302,total,schools
Sikkim,total_schools_all_management,1245,total,schools
Tamil Nadu,total_schools_all_management,57935,total,schools
Telangana,total_schools_all_management,43154,total,schools
Tripura,total_schools_all_management,4943,total,schools
Uttar Pradesh,total_schools_all_management,262358,total,schools
Uttarakhand,total_schools_all_management,22452,total,schools
West Bengal,total_schools_all_management,93715,total,schools
India,total_schools_govt_,1013322,total,schools
Andaman & Nicobar Islands,total_schools_govt_,335,total,schools
Andhra Pradesh,total_schools_govt_,44886,total,schools
Arunachal Pradesh,total_schools_govt_,2558,total,schools
Assam,total_schools_govt_,44741,total,schools
Bihar,total_schools_govt_,76320,total,schools
Chandigarh,total_schools_govt_,118,total,schools
Chhattisgarh,total_schools_govt_,48827,total,schools
Dadra & Nagar Haveli and Daman & Diu,total_schools_govt_,361,total,schools
Delhi,total_schools_govt_,2681,total,schools
